SITE_NAME,COEFF_VARIATION
0057KO,0.07016168883785912
0058BR,0.6521339321408646
0058KO,0.14833099266373356
0059BR,0.07673421907236955
0059KO,0.13617364732886847
0060BB,0.056666671646214674
0060BR,0.06997246195591736
0060KO,0.043224069771931384
0061BB,0.07525246711500072
0061BR,0.5741374134287007
0061KO,1.0136675958706471
0062BB,0.04276125148548762
0062BR,0.05369921032386936
0062KO,0.09240639869635595
0063BB,0.10766799723891797
0063BR,0.08971322058537001
0063KO,0.04115342074143045
0064BB,1.8266376696876092
0064BR,0.6075626350205667
0064KO,0.048086346889797425
0065BB,0.07137687978554796
0065BR,0.16865499095649442
0066BB,0.04926150921372551
0066BR,0.0578390180605989
0067BB,0.014060035651957112
0067BR,0.1449554865417015
0068BB,0.011120834183977158
0068BR,0.23001685435325062
0069BB,1.4318978501014166
0069BR,0.014105154591970101
0070BB,0.17245666983835856
0070BR,0.05131833959004063
0070KO,0.055747488798307626
0071BB,0.25082744732890133
0071BR,0.8334939288505399
0071KO,0.039971275665281754
0072BB,0.07605247066248555
0072BR,0.1721211472590182
0072KO,0.08207855896300074
0073BB,0.17279988556538808
0073BR,0.08474107268227025
0073KO,0.14184837936756892
0074BB,0.03894875633700121
0074BR,0.1634122418930319
0074KO,0.4975487298478797
0075BB,0.0
0075BR,0.068516360065238
0076BB,0.00751949885271796
0076BR,0.8870064752789186
0076KO,1.4043530601142535
0077BB,0.0848481389137954
0077BR,0.10255176713368794
0077KO,0.05357767110073466
0078BB,0.2334294649180775
0078BR,0.08973582570176268
0078KO,0.8448919633916354
0079BB,0.035227604905821545
0079BR,0.11562454533376627
0080BB,0.06501781155987896
0080BR,0.10849692491685364
0080KO,0.31762322595437203
0081BB,1.292451328096588
0081BR,0.054449173233578216
0081KO,0.039773305875572984
0082BB,0.025322091536650326
0082BR,0.6985319798453629
0082KO,0.4890192814784595
0083BB,1.405110875368849
0083BR,0.09843034607348526
0083KO,0.14560006957870275
